experiment_id,description,control_result,test_result,result_type,result_value,metadata_date,metadata_researcher,metadata_location
E123,Growth rate of plants under different light conditions,0.2 cm/day,0.5 cm/day,growth_index,2.5,15/01/2023,Dr. Green,Lab A
E124,Effect of temperature on enzyme activity,No activity,Incresed activity at 37°C,temperature_effectiveness,0.8,02/10/23,Dr. Blue,Lab B
E125,Study of microbial growth in different pH levels,Neutral growth,,growth_rate,,12/03/2023,Dr. Red,Lab C
E126,Comparison of fuel efficiency in hybrid vs. electric cars,20 mpg,50 mpg,efficiency_increase,30%,22/04/2023,Dr. Yellow,Field A
E127,Effect of various diets on weight loss,1 kg/week,2.5 kg/week,weight_loss_ratio,2.5,18/05/2023,Dr. White,Lab D
E128,Impact of water hardness on detergent effectiveness,50% stain removal,80% stain removal,effectiveness_gain,30,22/06/2023,Dr. Black,Lab E
E129,Analysis of chemical reaction rates at different temperatures,Slow reaction,Rapid reaction at 60°C,reaction_time,15 mins,15/07/2023,Dr. Orange,Lab F
E130,Testing different water purification methods,0.5 ppm contaminants,0.1 ppm contaminants with new method,purity_increase,80%,08/05/2023,Dr. Purple,Lab G
E131,Effects of varying light intensities on solar panel efficiency,80% efficiency,90% efficiency at high intensity,efficiency_gain,10%,20/09/2023,Dr. Gray,Field B
E132,Comparative study of different insulation materials,Standard insulation,Improved thermal resistance with new material,thermal_resistance,High,10/10/2023,Dr. Brown,Lab H
E133,Impact of different exercise regimes on cardiovascular health,Moderate improvement,Significant improvement with high-intensity training,heart_health_index,4.2,05/11/2023,Dr. Pink,Lab I
E134,Study on the durability of new construction materials,5 years,10 years,durability_increase,5,12/12/2023,Dr. Silver,Site A
E135,Effects of different fertilizers on crop yield,500 kg/acre,700 kg/acre,yield_increase,40%,18/12/2023,Dr. Gold,Field C
